1,$\bar{1}$,2,$m$,$2/m$,222,$mm2$,$mmm$,$\bar{4}$,4,$\bar{4}2m$,422,$4/m$,$4mm$,$4/mmm$,3,$\bar{3}$,32,$3m$,$\bar{3}m$,$\bar{6}$,$\bar{6}m2$,6,622,$6/m$,$6mm$,$6/mmm$,23,432,$m\bar{3}$,$\bar{4}3m$,$m\bar{3}m$,$\infty$
x1,0,0,x1,0,0,0,0,0,0,0,0,0,0,0,x1,0,x1,0,0,x1,0,0,0,0,0,0,0,0,0,0,0,0
x2,0,x2,0,0,0,0,0,0,0,0,0,0,0,0,x2,0,0,x2,0,x2,x2,0,0,0,0,0,0,0,0,0,0,0
x3,0,0,x3,0,0,x3,0,0,x3,0,0,0,x3,0,x3,0,0,x3,0,0,0,x3,0,0,x3,0,0,0,0,0,0,0
x4,0,0,x4,0,0,x4,0,x4,x4,0,0,0,x4,0,x4,0,0,x4,0,0,0,x4,0,0,x4,0,0,0,0,0,0,0
x5,0,0,x5,0,0,x5,0,-x4,x4,0,0,0,x4,0,x4,0,0,x4,0,0,0,x4,0,0,x4,0,0,0,0,0,0,0
x6,0,x6,0,0,0,0,0,0,0,0,0,0,0,0,-x2,0,0,-x2,0,-x2,-x2,0,0,0,0,0,0,0,0,0,0,0
x7,0,x7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x8,0,0,x8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x9,0,0,x9,0,0,0,0,0,0,0,0,0,0,0,-x1,0,-x1,0,0,-x1,0,0,0,0,0,0,0,0,0,0,0,0
x10,0,x10,0,0,x10,0,0,x10,0,x10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x10,0,0,x10,0,0
